id,onboarding_date,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,split
8d283dbb-76bf-49e8-8d84-4204892f5e88,2023-01-01,22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,train
a3413a24-93d7-4282-ad52-30269c64e74f,2023-03-05,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,test
2a5ac4b9-978e-45d0-9ee2-0f7125ccd43e,2023-01-01,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,train
0a619282-9272-4825-b65e-37c6ca123241,2023-01-02,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,train
54661a18-5162-4faf-a240-8670548f5b93,2023-01-03,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,train
8efe11bd-5dba-4c4d-abe0-748d0687ad28,2023-01-03,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,train
6c72faca-8970-4bd1-928f-489e1e6a36cb,2023-01-03,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,train
3216fc66-ac4d-43d8-83bf-c1bbb0d11f85,2023-03-06,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,test
47cbc692-269b-4376-9a2a-033e2975d489,2023-01-04,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,train
b625e187-c709-49dc-a4b3-807dac1efcf0,2023-01-04,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,train
67b75680-4d7a-4886-9caf-8b6903771ccd,2023-01-04,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,train
4d119293-fe50-441d-a8ee-885e1364df7f,2023-03-06,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,test
87aafdf6-3e68-419e-98e5-7900f37d5883,2023-03-08,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,test
6b0748d7-f840-4bca-9b4e-54d4c3e374ed,2023-01-04,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,train
5f58f63e-2cdd-4b38-ba9a-52e299891660,2023-01-04,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,train
365c7de7-5a2f-400e-b7fb-20102b67d701,2023-01-04,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,train
7e4243e1-92c8-446a-9d16-c77593e9ba34,2023-01-05,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,train
4d559e1d-afc1-432d-901b-b310fe27c26b,2023-01-05,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,train
3c56fdaa-4e05-4dcd-bdfd-2b0200edc005,2023-01-05,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,train
3d67fd33-03ba-4585-aae9-c6aff2b6f032,2023-01-05,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,train
f516aad8-af30-4b7d-a281-6300d3e0a7d3,2023-01-05,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,train
6dd6f333-f4df-4816-9b7d-d40c298595bb,2023-01-06,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,train
6d6783d2-7000-489b-9638-84b60b9e8c2f,2023-01-06,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,train
9038e058-eac0-4979-8b09-62e15a7eb463,2023-01-06,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,train
6d8fbe5d-efb2-4ade-a54b-466cab2ef4cd,2023-01-06,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,train
d5a67dd9-a356-4963-ac44-94def12521fa,2023-01-07,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,train
d5b77b45-3be5-4d37-b6a6-cb116c6c8e93,2023-01-07,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,train
583430ec-7984-4829-aad0-22fdfc625176,2023-01-07,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,train
c6567bee-6aa6-4ded-9d3d-d1ced180c1f2,2023-01-07,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,train
e7392efd-2c67-4f62-9c32-8d00686fb756,2023-01-07,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,train
1c9249f9-65dd-4b13-918b-690f9e0a7e6f,2023-01-07,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,train
d548e506-d049-4129-b822-4b50c4ca0fcd,2023-01-08,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,train
